address,underlyingValue,debt
0x0000014ffa35ed6ad0d5c9c079c908716c113eb8,99998563938000000,-6580798791087377
0x002a9a4a1c2a5bfb889833a1af14eec452be86da,34004831133000000,-2172978053137426
0x00574f760ffa04f757fca3b2ffac370d9a51012a,29989091587000000,-3751679171832113
0x006254729ad977042210071b2e118c82739a191b,51274727595000000,-3620319092319725
0x00c6a1a5f61558491bc8ceda03fdb4658513ccea,99988489328000000,-12240722134546001
0x00ec18a3436af2eb4a9450fa50d42a951d2adf9c,13982551219000000,-930539397267600
0x0128cd2dae8c8de4b6ccc48289e934b3d3057d35,11587782640000000,-14414609795684549
0x0182d30948ef5fed925ba22cf5bc6724d1cfbb59,19968123868000000,-1823445591113884
0x01d5435525af610d30dcedbd5c255e10757e2651,19198176816000000,-1885158259922339
0x021347565515e576ef931e404d628da613d785b9,11023613888000000,-883474800919687
0x022b36d50976c939b76615e5bedf2487c1924de7,49984742612000000,-4564497853745669
0x024724568577ab3e3bc7ed8a247034ec48cdca9d,99992823140000000,-9131126875162243
0x024899f1b2e7c3cfc5e3db7f54ecc284fd775d29,28999764885000000,-1908443583403354
0x024dcd278b57232c8c166045b7e97b8e942370b5,10000057886000000,-665504291179350
0x029d1923f5c2c07bb54b6d5acce4a320fe0e51b9,10000057886000000,-665504291179350
0x02f13757bd45618e37a4f6a1689c33b250f288aa,10000057886000000,-507081101009867
0x03215a66e3655ead2657482da1ba470e85c56547,38600868215000000,-5118405455902259
0x033d8ec7ea0af942f519ff9baa26210d1a036ddd,61404747950000000,-4086488670902822
0x033f68fd9df6bac726e6651e95ac399dbca3dc58,10088714454000000,-1195920201490660
0x034bd053a08174ea31d309c840a39e7dd89d3094,38830569323000000,-5148863408243267
0x0368bccbb37c7e584c591c1d0bf1a13bd6429349,99999571399000000,-13259762681649545
0x0385ebd136bfeb8e1943992c23211a5655d6393e,99999571399000000,-6580865091020794
0x038eb6066cb5604e27388df25e719d9779a37941,10000057886000000,-665504291179350
